first,last
1000,1010
1014,1016
1018,1025
1029,1040
1048,1100
1106,1116
1120,1130
1132,1150
1152,1152
1155,1155
1157,1453
1455,1600
1602,1610
1612,1612
1614,1680
1682,1687
1690,1694
1696,1701
1705,1745
1747,1754
1756,1789
1798,1811
1813,1816
1818,1820
1824,1830
1832,1833
1835,1840
1842,1850
1853,1920
1922,1933
1935,2022
2024,2261
2263,2265
2267,2281
2283,2283
2285,2287
2290,2370
2372,2373
2376,2390
2392,2403
2405,2407
2409,2410
2412,2470
2472,2490
2492,2494
2496,2496
2498,2515
2517,2520
2522,2594
2596,2631
2633,2640
2642,2650
2653,2660
2662,2664
2666,2710
2714,2715
2720,2720
2724,2728
2730,2730
2732,2740
2743,2760
2762,2808
2810,2810
2812,2871
2873,2912
2914,2920
2922,2934
2936,3078
3080,3195
3200,3370
3372,3416
3418,3430
3432,3435
3440,3441
3443,3444
3448,3448
3450,3453
3455,3460
3462,3510
3513,3520
3522,3525
3529,3532
3534,3544
3546,3564
3566,3720
3722,3790
3792,3812
3814,3830
3832,3832
3834,3860
3862,3870
3872,3895
3897,3897
3899,4537
4539,4760
4762,4781
4783,4790
4792,4876
4880,4900
4902,4905
4907,4920
4922,4940
4942,5144
5146,5150
5152,5252
5254,5341
5343,6000
6005,6005
6007,6013
6015,6020
6022,6025
6027,6030
6032,6036
6038,6040
6042,6044
6046,6100
6102,6170
6172,6180
6182,6198
6200,6230
6232,6300
6302,6360
6362,6410
6413,6418
6420,6442
6444,6444
6446,6514
6516,6545
6547,6603
6605,6661
6663,6665
6667,6668
6670,6672
6674,6680
6682,6690
6692,6815
6817,6823
6828,6830
6832,6832
6834,6835
6837,6841
6843,6850
6852,6882
6884,6902
6904,6920
6922,6930
6932,6990
6992,7461
7463,7510
7512,7513
7515,7520
7523,7570
7573,7574
7576,7581
7583,7590
7592,7601
7603,7948
7950,7950
7952,8023
8025,8027
8029,8445
8449,8465
8467,8470
8472,8500
8503,8880
8886,8890
8898,8898
8900,9100
9102,9160
9165,9165
9167,9400
9402,9478
9480,9606
9608,9614
9617,9617
9619,9622
9624,9710
9712,9720
9725,9730
9732,9750
9754,9755
9757,9803
9805,9900
9903,9931
9933,9933
9935,9935
9937,9999
